ADMIN1;ADMIN2;FUNC1;2018_EXECUTED;2018_ADJUSTED;2019_EXECUTED;2019_ADJUSTED;2020_EXECUTED;2020_ADJUSTED;2021_EXECUTED;2021_ADJUSTED;2022_EXECUTED;2022_ADJUSTED;2023_EXECUTED;2023_ADJUSTED;2024_EXECUTED;2024_ADJUSTED;2025_EXECUTED;2025_ADJUSTED;2026_EXECUTED;2026_ADJUSTED
Місцеві бюджети;Донецька обл.;1000 Соціальний захист та соціальне забезпечення;6655201377.77;6856477963.77;4663754299.84;5228571680.91;1154902336.6;1192417872.96;1378788691.59;1381465039.94;921452462.2;1797450057.81;1352979614.82;1771662486.33;1815518895.65;2084435798.9;1361852096.49;1476982409.37;85614187.57;1913987786.67
Місцеві бюджети;Житомирська обл.;;24006455660.74;24875711390.16;21570445418.28;22997976214.15;15075183890.49;15926857480.39;16317128061.13;17220961540.38;14829662858.77;18941654911.99;22663903000.16;26449156504.37;21460843305.89;24184651191.34;23716258247.6;26102344554.7;3062758057.19;22538307842.85
Місцеві бюджети;Житомирська обл.;0100 Загальнодержавні функції;7390499782.46;7673531638.14;5646246667.48;6177803613.37;2609092063.72;2890441400.54;2343172377.67;2525624832.63;2007892030.27;2949482928.89;4418745013.67;5527373288.92;3633909794.25;4204444801.41;4569894781.36;5152707270.71;600255468.31;4530163451.11
Місцеві бюджети;Житомирська обл.;0300 Громадський порядок, безпека та судова влада;20837596.2;21123540.89;29009081.24;29869131.37;36594599.09;36807324.31;39948612.24;35618635.12;280729356.54;493035841.34;904405002.09;1272744063.09;632420169.63;751060459.02;411422289.33;485604056.66;24122512.59;373498809
Місцеві бюджети;Житомирська обл.;0400 Економічна діяльність;1738991179.64;2108932974.26;1889977886.98;2346257329.86;2545935661.01;2784031190.59;2451553411.46;3001544752.09;1509466929.14;3237402828.95;3404428221.41;5271426423.98;2050402501.99;3686783569.97;1780221400.44;2419242642.89;96925945.41;1652357864.6
Місцеві бюджети;Житомирська обл.;0500 Охорона навколишнього природного середовища;20557257.67;34278849.36;37890579.73;62517308.13;23995659.83;34910942.78;21896230.62;26387561.83;12872227.4;17138763;9096881.82;15376463.25;8431080.79;12833372.83;20955193.92;26453082.19;216137.37;13625365
Місцеві бюджети;Житомирська обл.;0600 Житлово-комунальне господарство;573453421.01;624435311.76;726587052.99;758067031.26;621847468.17;647287249.48;807100396.09;845701972.25;640917166.62;1024601960.46;1117179894.77;1280177272.83;1214979659.81;1291412606.74;1314388653.73;1416362743.43;182920608.14;1303277106.27
Місцеві бюджети;Житомирська обл.;0700 Охорона здоров'я;2733650262.5;2661402905.69;2530998157.59;2517291812.72;1221727990.04;1264472293.08;626944734.79;647850422.02;709621221.14;761234344.12;970936454.52;1060896609.69;862794774.48;944763395.83;1064293205.09;1571758219.41;111944552.09;867952650.22
Місцеві бюджети;Житомирська обл.;0800 Духовний та фізичний розвиток;542265716.11;557493271.89;637335641.48;654841926.73;613943167.7;636883776.64;727056142.99;724053665.82;640739362.92;734115867.75;827812459.17;867211393.91;941438537.83;853067736.35;898428973.01;954888539.92;127589412.53;984977934
Місцеві бюджети;Житомирська обл.;0900 Освіта;5594148113.91;5688588203.95;6360126997.7;6410248983.74;6707749882.61;6928676161.5;8473954219.45;8584794061.29;8135377334.29;8726631868.11;9573839430.51;9707212128.91;10389199804.84;10727866796.56;11553548370.09;11920483697.24;1733180478.16;11329068364.98
Місцеві бюджети;Житомирська обл.;1000 Соціальний захист та соціальне забезпечення;5392052331.24;5505924694.22;3712273353.09;4041079076.97;694297398.32;703347141.47;825501935.82;829385637.33;892047230.45;998010509.37;1437459642.2;1446738859.79;1727266982.27;1712418452.63;2103105380.63;2154844302.25;185602942.59;1459566922.67
Місцеві бюджети;Житомирська обл.;-9 не існує;;;;;;;;;;;;;;;;;0;23819375
Місцеві бюджети;Закарпатська обл.;;21654598820.99;22737589469.02;21392710562.47;22295419352.91;14406335143.4;15514730026.51;14988247321.55;16202649516.9;15454260143.38;17241797939.28;19875450791.66;20986925514.67;19323577507.8;20209102568.21;22212828746.84;23043644299.7;3088571776.06;21605679951.08
Місцеві бюджети;Закарпатська обл.;0100 Загальнодержавні функції;6672183784.25;7042330360.66;6222736370.58;6446614977.42;2785511539.94;2940300898.27;2357047999.33;2281188650.17;2813492613.33;3145878107.3;4371018217.8;4574513453.72;3849425873.71;3677855785.68;4159871208.21;4434213513.07;586029662.74;3558133455.98
Місцеві бюджети;Закарпатська обл.;0300 Громадський порядок, безпека та судова влада;30066205.7;31139252.75;46471383.6;31647692.6;51052841.72;37873542.24;30336275.37;33234165;304941215.68;318031247.28;260045483.36;274354928.71;178147485.26;205238203.34;194927677.66;227702348;17157521.18;164155861
Місцеві бюджети;Закарпатська обл.;0400 Економічна діяльність;1387471341.97;1797416125.09;1446169103.57;1775610074.17;1518734251.06;2069206388.41;1860046356.15;2612165956.45;985078005.38;1642959924.11;2330821623.47;2740494162.75;1179153379.95;1551928203.94;1281250494.88;1585929658.57;32743634.89;994361661.21
Місцеві бюджети;Закарпатська обл.;0500 Охорона навколишнього природного середовища;18769863.68;25548791.55;35905947.52;45379460.78;14595263.2;21446251.84;8068030.89;17589580.5;8950926.46;18596619.95;9418935.91;17583083.11;17670197.48;23874910;21367926.43;39206535.48;700626.63;20960094.2
Місцеві бюджети;Закарпатська обл.;0600 Житлово-комунальне господарство;460632105.29;492503209.69;520472979.52;551992506.55;488777151.43;534094430.3;530711515.7;621884859.32;640685774.62;754915260.79;877774672.22;940857244.45;804870581.91;867210072.69;1044744958.07;1137400730.55;121007531.02;1213565357
Місцеві бюджети;Закарпатська обл.;0700 Охорона здоров'я;2502674502.99;2474805622.11;2490061597.75;2333850747.41;1144870210.59;1186924447.21;524076919.28;565225831.63;561587911.46;640071328.2;790856896.71;858747190.12;657721000.02;709611577.68;980840962.17;870908933.13;87815749.23;904776209
Місцеві бюджети;Закарпатська обл.;0800 Духовний та фізичний розвиток;449617248.68;461708480.3;513437562.35;532492863.5;497676874.84;519795132.89;594797662.36;553076387.72;502121414.37;551397120.19;679635288.58;710780907.11;762483582.73;788099575.09;900377044.78;926699808.82;113420694.93;995859606
Місцеві бюджети;Закарпатська обл.;0900 Освіта;5785777206.62;5998865982.32;6648512620.83;6875209363.84;7438560427.21;7736137402.67;8605380067.85;9031732788.62;8847876105.59;9317147571.07;9493985297.33;9770998907.46;10742490771.13;11232280071.42;12314936021.48;12463436827.61;1970946037.4;12204892915.33
Місцеві бюджети;Закарпатська обл.;1000 Соціальний захист та соціальне забезпечення;4347406561.81;4413271644.55;3468942996.75;3702621666.64;466556583.41;468951532.68;477782494.62;486551297.49;789526176.49;852800760.39;1061894376.28;1098595637.24;1131614635.61;1153004168.37;1314512453.16;1358145944.47;156390722.04;1200436935.36
Місцеві бюджети;Закарпатська обл.;-9 не існує;;;;;;;;;;;;;;;;;2359596;348537856
Місцеві бюджети;Запорiзька обл.;;32240225518.21;33670293268.47;29699534974.69;31558115010.95;22270904299.2;23802311396.79;25019726330.3;26177021513.24;18722208913.38;27156681129.99;19720229915.08;25170294397.75;25243219700.69;29311779841.67;30923925434.72;33554999920.27;4212433706.71;23850157908
Місцеві бюджети;Запорiзька обл.;0100 Загальнодержавні функції;8316590149.65;8595669279.22;6744305718.59;7236519795.73;3946370010.93;4175189751.84;4183958509.05;4280243020.44;2542359617.39;4518602735.27;3123722806.65;5347030223.62;5706903227.23;6827128175.3;7726397159.89;8244240375.41;720574099.48;5379155389
Місцеві бюджети;Запорiзька обл.;0300 Громадський порядок, безпека та судова влада;34782003.08;34771534;38601311.67;38598938;40071836.98;41018243;44156490.66;44162557;361635332.13;434956784;326772936.38;559218523;2379511385.58;3077730393;2916613678.42;3913290100.06;861843452.67;2373662488
Місцеві бюджети;Запорiзька обл.;0400 Економічна діяльність;2817178183.37;3352532681;2930448613.12;3340644779.03;3353358712.48;3798070745.91;3680436400.48;4268675526.79;1671921283.06;3879234452.87;2825980479.69;4293975124;2641652241;3925052650;2417944638.84;2706819663.5;245068781.11;1885744668
Місцеві бюджети;Запорiзька обл.;0500 Охорона навколишнього природного середовища;430067271.96;606817572;340928109.88;420980364.73;168286884.23;276737556;164886320.06;200356756.89;16046013.23;191130048;36857965.32;67694394;29436830.75;34966978;37450744.03;39637182;0;63060676
Місцеві бюджети;Запорiзька обл.;0600 Житлово-комунальне господарство;1907600892.69;1978325037.73;2077295833.19;2149336177.79;1891410141.28;1938194487.42;2131189184.98;2213803729.99;1911015784.82;2723508391;2435639266.79;2652749255;2160377275.35;2202898544.59;3175128965.13;3639618522.08;440407436.38;2258778801
Місцеві бюджети;Запорiзька обл.;0700 Охорона здоров'я;4862993729.23;4832827688.38;4536935999.6;4616247335.24;2334959595.46;2452184453.96;1806607160.68;1864921915;1289537397.64;1627889235.73;1105278719.57;1265441731;1105393504.72;1172716984;1446237226.05;1618476420;121272819.19;912135238
Місцеві бюджети;Запорiзька обл.;0800 Духовний та фізичний розвиток;787598556.03;792585156;900103490.99;928891569.43;945833178.29;960878370.44;1129067496.59;1155271679;862295968.86;1156234344;777464788.66;913929259;899392724.55;953478246;1005980032.15;1029392739.79;138499144.19;995646952
Місцеві бюджети;Запорiзька обл.;0900 Освіта;7350378993.03;7554503397.14;8229595916.19;8550638420;8724629955.46;9255483809.22;10841639817.76;11105439589.13;9146847339.15;11353236074.12;8033743337.65;8838783925.13;9055661911.35;9734566796.37;10644083590.71;10865134286.67;1478558128.02;8568516313
Місцеві бюджети;Запорiзька обл.;1000 Соціальний захист та соціальне забезпечення;5733035739.17;5922260923;3901319981.46;4276257631;865983984.09;904553979;1037784950.04;1044146739;920550177.1;1271889065;1054769614.37;1231471963;1264890600.16;1383241074.41;1545958101.09;1489383290.76;206209845.67;1366291822
Місцеві бюджети;Запорiзька обл.;-9 не існує;;;;;;;;;;;;;;;8131298.41;9007340;0;47165561
