тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
fundType;programCode;programCodeName;yearBeginPlan;yearCorrectionPlan;periodCorrectionPlan;openAllocPeriod;directedAllocPeriod;periodDone;deviationToPeriodCorrectionPlan;percentDoneToPeriodCorrectionPlan;percentDoneToYearCorrectionPlan
TOTAL;1201000;Апарат Міністерства економіки України;11769605000;36557846288.31;;;;35663734339.83;;;97.55
TOTAL;1201010;Керівництво та управління у сфері економіки;546951300;490911498.31;;;;468562693.42;;;95.44
TOTAL;1201020;"Виконання зобов’язань України за участь у програмі ЄС ""Конкурентоспроможність підприємств малого та середнього бізнесу (COSME)""";4311200;34390069;;;;0;;;0
TOTAL;1201030;Забезпечення двостороннього співробітництва України з іноземними державами та міжнародними організаціями, інформаційне та організаційне забезпечення участі України у міжнародних форумах, конференціях, виставках;233484200;183135800;;;;37691604.8;;;20.58
TOTAL;1201080;"Ліквідація та екологічна реабілітація території впливу гірничих робіт державного підприємства ""Солотвинський солерудник"" Тячівського району Закарпатської області";4635600;4635600;;;;4618221.16;;;99.62
TOTAL;1201110;Витрати Аграрного фонду пов'язані з комплексом заходів із зберігання, перевезення, переробки та експортом об'єктів державного цінового регулювання державного інтервенційного фонду;104000000;0;;;;0;;;
TOTAL;1201220;Наукова і науково-технічна діяльність у сфері економічного розвитку, стандартизації, метрології та метрологічної діяльності;23589300;20060400;;;;19761172.02;;;98.5
TOTAL;1201230;"Надання допомоги в рамках Програми ""єПідтримка""";8824476200;32115641600;;;;32109684126.51;;;99.98
TOTAL;1201250;Компенсація фінансових зобов’язань за кредитними та лізинговими договорами у галузі машинобудування;1000000000;0;;;;0;;;
TOTAL;1201270;Організація та функціонування Аграрного фонду;7611600;0;;;;0;;;
TOTAL;1201280;Виплати працівникам, які вивільняються з роботи у зв’язку із достроковим зняттям з експлуатації Чорнобильської АЕС;3111600;2800400;;;;2465138.75;;;88.02
TOTAL;1201290;Компенсація роботодавцю частини фактичних витрат, пов'язаних зі сплатою єдиного внеску на загальнообов'язкове державне соціальне страхування;800000;0;;;;0;;;
TOTAL;1201300;Реконструкція, модернізація та відновлення меліоративних систем;1000000000;0;;;;0;;;
TOTAL;1201320;Виконання судових рішень, що набрали законної сили;1797000;1617300;;;;1617300;;;100
TOTAL;1201330;"Здійснення заходів з обов’язкового проведення тендерів ДУ ""Професійні закупівлі""";8724000;7851600;;;;3447200.41;;;43.9
TOTAL;1201580;Заходи із посилення інституційної спроможності для підготовки проектів державно-приватного партнерства;6113000;5501700;;;;4108679.22;;;74.68
TOTAL;1201700;Надання роботодавцям компенсації витрат на оплату праці за кожну працевлаштовану особу з числа внутрішньо переміщених осіб внаслідок проведення бойових дій під час воєнного стану в Україні;0;200000000;;;;199781910.97;;;99.89
TOTAL;1201710;Виплата Фондом загальнообов'язкового державного соціального страхування на випадок безробіття допомоги по безробіттю;0;1259200000;;;;1259200000;;;100
TOTAL;1201720;Надання грантів для створення або розвитку бізнесу;0;2232100321;;;;1552796292.57;;;69.56
TOTAL;1203000;Державне агентство резерву України;1400853600;1366998984;;;;262529564.07;;;19.2
